year,structure_distance
2006,0.0033624818821387627
2007,0.009627095413919751
2008,0.0018919956822402194
2009,0.007694453299581601
2010,0.00403126006417255
2011,0.003447280231800859
2012,0.004130305047991763
2013,0.006576520853494325
2014,0.009016880562776542
2015,0.002934976995239266
2016,0.0019260036687357908
2017,0.005420307545517878
2018,0.01963559994839179
2019,0.011262585123350669
2020,0.018286434452306762
2021,0.009564905963765635
2022,0.009521079527362848
2023,0.008064205607514247
