범죄별(1),범죄별(2),범죄별(3),2005,2005.1,2005.2,2005.3,2005.4,2005.5,2005.6,2006,2006.1,2006.2,2006.3,2006.4,2006.5,2006.6,2007,2007.1,2007.2,2007.3,2007.4,2007.5,2007.6,2008,2008.1,2008.2,2008.3,2008.4,2008.5,2008.6,2009,2009.1,2009.2,2009.3,2009.4,2009.5,2009.6,2010,2010.1,2010.2,2010.3,2010.4,2010.5,2010.6,2011,2011.1,2011.2,2011.3,2011.4,2011.5,2011.6,2012,2012.1,2012.2,2012.3,2012.4,2012.5,2012.6,2013,2013.1,2013.2,2013.3,2013.4,2013.5,2013.6
범죄별(1),범죄별(2),범죄별(3),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),발생비 (%),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명)
,주택건설촉진법,소계,127,0.3,129,101.6,151,87,64,82,0.2,55,67.1,72,46,26,5,0,6,120,11,7,4,4,0,4,100,30,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,100,1,1,-,-,-,-,-,-,-,-,3,0,3,100,5,5,-
,증권거래법,소계,153,0.3,143,93.5,301,294,7,155,0.3,127,81.9,221,211,10,121,0.2,107,88.4,203,179,24,95,0.2,90,94.7,149,138,11,76,0,67,88.2,101,95,6,43,0,41,95.3,78,76,2,32,0,24,75,41,41,-,33,0,26,78.8,41,39,2,9,0,9,100,8,6,2
,지방세법,소계,513,1.1,421,82.1,423,386,37,422,0.9,259,61.4,252,225,27,369,0.7,271,73.4,273,229,44,138,0.3,104,75.4,105,97,8,18,0,24,133.3,24,22,2,7,0,6,85.7,6,5,1,4,0,2,50,2,2,-,3,0,3,100,2,2,-,3,0,1,33.3,4,3,1
,지하수법,소계,40,0.1,40,100,43,41,2,18,0,18,100,20,17,3,16,0,16,100,17,14,3,11,0,11,100,11,11,-,23,0,23,100,23,23,-,13,0,12,92.3,13,13,-,21,0,21,100,24,24,-,21,0,21,100,23,21,2,22,0,22,100,27,25,2
,직업안정법,소계,1244,2.6,1205,96.9,1827,1421,406,2500,5.1,2495,99.8,2880,2612,268,1314,2.7,1299,98.9,1907,1508,399,962,1.9,950,98.8,1504,1092,412,1550,3,1516,97.8,2760,1912,848,758,1,745,98.3,982,779,203,1090,2,1065,97.7,1207,1089,118,656,1,631,96.2,1329,1092,237,1083,2,1055,97.4,1223,1030,193
,집회및시위에관한법률,소계,748,1.5,720,96.3,1354,1175,179,690,1.4,677,98.1,1497,1325,172,609,1.2,591,97,2015,1537,478,897,1.8,887,98.9,2321,1834,487,708,1,686,96.9,1717,1437,280,413,1,400,96.9,612,561,51,705,1,669,94.9,798,763,35,581,1,538,92.6,1099,895,204,411,1,412,100.2,1059,949,110
,철도법,소계,478,1,443,92.7,447,380,67,16,0,15,93.8,13,12,1,2,0,3,150,3,3,-,5,0,4,80,4,1,3,1,0,1,100,1,1,-,1,0,1,100,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,청소년보호법,소계,6905,14.2,6687,96.8,7512,4625,2887,6145,12.5,6065,98.7,6702,4266,2436,8704,17.7,8636,99.2,10052,5187,4865,8496,17.1,8417,99.1,10167,5142,5025,8476,17,8421,99.4,10258,5223,5035,8440,17,8385,99.3,9007,7294,1713,10257,20,10118,98.6,10448,9745,703,9906,19,9816,99.1,12805,6387,6418,10061,20,9972,99.1,12632,6381,6251
,청소년의성보호에관한법률,소계,1874,3.8,1792,95.6,2824,2656,168,1584,3.2,1552,98,2457,2264,193,1752,3.6,1651,94.2,3170,2614,556,1140,2.3,1121,98.3,2568,2061,507,1107,2,1075,97.1,2188,1737,451,429,1,406,94.6,701,632,69,98,0,82,83.7,89,84,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,체육시설의설치．이용에관한법률,소계,143,0.3,137,95.8,140,129,11,89,0.2,87,97.8,100,91,9,106,0.2,104,98.1,108,91,17,195,0.4,185,94.9,190,164,26,230,0,225,97.8,243,209,34,200,0,199,99.5,208,196,12,191,0,192,100.5,198,196,2,193,0,186,96.4,218,183,35,151,0,149,98.7,173,151,22
,총포・도검・화약류등단속법,소계,495,1,484,97.8,645,624,21,384,0.8,382,99.5,484,473,11,637,1.3,628,98.6,928,905,23,476,1,467,98.1,760,736,24,975,2,965,99,1208,1148,60,637,1,627,98.4,825,806,19,491,1,478,97.4,491,487,4,285,1,278,97.5,388,371,17,299,1,288,96.3,406,386,20
,축산물가공처리법,소계,1553,3.2,1590,102.4,1676,1249,427,742,1.5,734,98.9,844,687,157,520,1.1,516,99.2,566,389,177,566,1.1,568,100.4,708,515,193,467,1,460,98.5,527,384,143,371,1,372,100.3,401,356,45,133,0,129,97,130,123,7,42,0,41,97.6,39,25,14,42,0,41,97.6,49,36,13
,출입국관리법,소계,1549,3.2,1335,86.2,1597,1349,248,1897,3.9,1698,89.5,1705,1431,274,1758,3.6,1572,89.4,1798,1416,382,2886,5.8,2593,89.8,2918,2196,722,3023,6,2777,91.9,3101,2479,622,2733,5,2587,94.7,2710,2468,242,1706,3,1590,93.2,1696,1566,130,1330,3,1217,91.5,1554,1147,407,1565,3,1422,90.9,1877,1393,484
,컴퓨터프로그램보호법,소계,1415,2.9,1244,87.9,1327,1220,107,1980,4,1591,80.4,1578,1450,128,2402,4.9,1932,80.4,2044,1860,184,3135,6.3,2666,85,2777,2597,180,2096,4,1718,82,1790,1607,183,82,0,37,45.1,44,42,2,4,0,5,125,5,4,1,3,0,2,66.7,4,-,4,2,0,1,50,3,2,1
,통신비밀보호법,소계,135,0.3,136,100.7,230,224,6,123,0.3,118,95.9,160,151,9,86,0.2,83,96.5,124,114,10,92,0.2,84,91.3,131,118,13,76,0,67,88.2,113,97,16,75,0,71,94.7,76,73,3,91,0,78,85.7,85,80,5,99,0,89,89.9,165,122,43,114,0,103,90.4,168,124,44
,특가법（도주차량）,소계,14716,30.2,11233,76.3,11383,11104,279,15260,31.1,11611,76.1,10899,10654,245,14668,29.8,11278,76.9,11559,11055,504,13281,26.8,11071,83.4,11397,10749,648,13717,28,12085,88.1,12444,11581,863,13778,27,12344,89.6,12478,12178,300,14161,28,12491,88.2,12541,12453,88,15382,30,13208,85.9,13684,12210,1474,13093,26,11321,86.5,11844,10590,1254
,특허법,소계,310,0.6,249,80.3,309,297,12,314,0.6,264,84.1,296,278,18,525,1.1,440,83.8,540,510,30,309,0.6,271,87.7,439,402,37,388,1,343,88.4,426,392,34,264,1,219,83,241,229,12,224,0,188,83.9,198,196,2,266,1,225,84.6,386,333,53,229,0,184,80.3,365,328,37
,폐기물관리법,소계,1807,3.7,1761,97.5,1966,1791,175,5296,10.8,5182,97.8,5288,5198,90,2735,5.5,2540,92.9,2746,2672,74,1884,3.8,2010,106.7,2148,2054,94,2468,5,2452,99.4,2964,2899,65,825,2,772,93.6,797,763,34,1110,2,1039,93.6,1121,1092,29,1172,2,1110,94.7,1645,1505,140,2432,5,2365,97.2,1714,1608,106
,풍속영업의규제에관한법률,소계,271,0.6,267,98.5,406,239,167,119,0.2,116,97.5,159,84,75,106,0.2,106,100,160,107,53,86,0.2,86,100,143,78,65,111,0,109,98.2,199,86,113,79,0,77,97.5,99,69,30,109,0,104,95.4,124,104,20,1224,2,1215,99.3,1568,1187,381,819,2,809,98.8,1134,810,324
,하천법,소계,188,0.4,178,94.7,188,174,14,154,0.3,154,100,177,167,10,145,0.3,141,97.2,161,148,13,126,0.3,121,96,133,121,12,148,0,151,102,188,156,32,127,0,127,100,133,129,4,212,0,208,98.1,218,207,11,499,1,495,99.2,289,237,52,158,0,154,97.5,190,154,36
,학교보건법,소계,1098,2.3,1064,96.9,1082,877,205,841,1.7,815,96.9,797,655,142,517,1,512,99,533,396,137,405,0.8,401,99,419,289,130,256,1,248,96.9,257,173,84,190,0,179,94.2,183,145,38,173,0,172,99.4,173,163,10,275,1,271,98.5,302,199,103,952,2,940,98.7,1041,607,434
,항만법,소계,83,0.2,78,94,80,74,6,617,1.3,622,100.8,623,619,4,291,0.6,290,99.7,295,284,11,104,0.2,104,100,107,96,11,46,0,47,102.2,58,49,9,42,0,42,100,44,41,3,45,0,45,100,47,46,1,130,0,130,100,49,45,4,175,0,175,100,70,55,15
,항만운송사업법,소계,339,0.7,339,100,345,345,-,215,0.4,215,100,214,121,93,1343,2.7,1342,99.9,1768,1347,421,1543,3.1,1586,102.8,1849,1590,259,1154,2,1154,100,1186,1185,1,28,0,28,100,31,31,-,118,0,118,100,120,102,18,511,1,511,100,14,13,1,197,0,197,100,44,44,-
,해양오염방지법,소계,982,2,989,100.7,1085,1077,8,2152,4.4,2161,100.4,2221,2210,11,2106,4.3,2099,99.7,2927,2860,67,202,0.4,208,103,225,220,5,5,0,5,100,6,6,-,4,0,4,100,6,5,1,4,0,4,100,4,4,-,1,0,1,100,2,1,1,1,0,1,100,1,1,-
,향토예비군설치법,소계,19215,39.4,15077,78.5,15207,15187,20,18551,37.9,14469,78,13764,13748,16,17040,34.6,14114,82.8,14375,14357,18,14891,30.1,12323,82.8,12567,12559,8,14677,29,12742,86.8,12983,12972,11,11220,22,9064,80.8,9088,9087,1,11731,23,8661,73.8,8663,8655,8,14182,28,10725,75.6,15598,15591,7,15058,29,12601,83.7,17312,17301,11
,화재보험법,소계,876,1.8,22,2.5,24,22,2,1111,2.3,13,1.2,12,12,-,857,1.7,13,1.5,14,14,-,959,1.9,9,0.9,11,11,-,726,1,17,2.3,20,19,1,992,2,6,0.6,6,5,1,1184,2,3,0.3,4,4,-,479,1,3,0.6,3,3,-,180,0,1,0.6,-,-,-
,기타특별법,소계,21441,44,20801,97,25598,22413,3185,25865,52.8,25015,96.7,30163,26174,3989,68054,138,66327,97.5,87071,69499,17572,77310,156.1,74409,96.2,97825,76894,20931,97128,195,94535,97.3,127991,97397,30594,70602,138,68799,97.4,78568,68370,10198,76879,152,74393,96.8,80535,75204,5331,73466,144,71551,97.4,106592,75449,31143,90398,177,87308,96.6,110909,81614,29295
