period_flag,category_raw,value
CORE,협박 / 발생건수[건],183813.0
CORE,도박과 복표 / 남자검거인원[명],179570.0
CORE,도박 / 남자검거인원[명],179537.0
CORE,문서 / 검거인원[명],174686.0
CORE,배임 / 검거인원[명],174493.0
CORE,협박 / 검거건수[건],172317.0
CORE,위조범죄 / 발생건수[건],172054.0
CORE,문서,170461.0
CORE,협박 / 남자검거인원[명],170442.0
CORE,저작권법 / 발생건수[건],162961.0
CORE,성매매알선 등 행위의 처벌에 관한법률 / 검거인원[명],161482.0
CORE,강간,160452.0
CORE,도로교통법(음주운전) / 여자검거인원[명],160131.0
CORE,형법범 / 미상검거인원[명],159879.0
CORE,정보통신망이용촉진 및 정보보호 등에 관한법률 / 발생건수[건],158367.0
CORE,주거침입 / 발생건수[건],149593.0
CORE,문서 / 발생건수[건],149080.0
CORE,강제추행 / 검거인원[명],147307.0
CORE,도로교통법 / 발생건수[건],146338.0
CORE,강제추행 / 발생건수[건],145757.0
CORE,강제추행 / 남자검거인원[명],141972.0
CORE,정보통신망이용촉진 및 정보보호 등에 관한법률 / 검거인원[명],141655.0
CORE,저작권법 / 검거인원[명],140024.0
CORE,강제추행 / 검거건수[건],139534.0
CORE,기타특별법 / 여자검거인원[명],137714.0
CORE,도로교통법 / 검거인원[명],136090.0
CORE,배임 / 남자검거인원[명],134125.0
CORE,위조범죄 / 남자검거인원[명],131136.0
CORE,전자금융거래법 / 남자검거인원[명],130662.0
CORE,신용업무경매,127899.0
CORE,주거침입 / 검거인원[명],127786.0
CORE,위조범죄 / 검거건수[건],127772.0
CORE,공무방해,126045.0
CORE,문서 / 남자검거인원[명],122243.0
CORE,도로교통법 / 검거건수[건],121777.0
CORE,도로교통법 / 남자검거인원[명],121733.0
CORE,문서 / 검거건수[건],118555.0
CORE,명예,116381.0
CORE,근로자 퇴직급여 보장법 / 발생건수[건],114826.0
CORE,도박과복표,114755.0
CORE,근로자 퇴직급여 보장법 / 검거건수[건],111069.0
CORE,컴퓨터등사용사기 / 발생건수[건],110096.0
CORE,주거침입 / 검거건수[건],106599.0
CORE,풍속범죄 / 발생건수[건],104131.0
CORE,손괴 / 여자검거인원[명],104026.0
CORE,정보통신망이용촉진 및 정보보호 등에 관한법률 / 검거건수[건],101840.0
CORE,과실범죄 / 검거인원[명],100042.0
CORE,배임 / 발생건수[건],99454.0
CORE,식품위생법 / 검거인원[명],98789.0
CORE,주거침입 / 남자검거인원[명],98729.0
CORE,청소년보호법 / 검거인원[명],98586.0
CORE,특별법범 / 미상검거인원[명],98536.0
CORE,성매매알선 등 행위의 처벌에 관한법률 / 남자검거인원[명],96914.0
CORE,풍속범죄 / 검거건수[건],96543.0
CORE,권리행사방해 / 검거인원[명],96480.0
CORE,명예 / 여자검거인원[명],93352.0
CORE,권리행사방해 / 발생건수[건],86749.0
CORE,정보통신망이용촉진 및 정보보호 등에 관한법률 / 남자검거인원[명],86715.0
CORE,과실범죄 / 발생건수[건],84586.0
CORE,배임 / 검거건수[건],82654.0
CORE,저작권법 / 검거건수[건],82548.0
CORE,횡령 / 여자검거인원[명],82238.0
CORE,감염병의 예방 및 관리에 관한법률 / 검거인원[명],81263.0
CORE,마약류관리에 관한법률(향정) / 검거인원[명],80605.0
CORE,전자금융거래법 / 검거건수[건],79030.0
CORE,전자금융거래법 / 발생건수[건],78600.0
CORE,청소년보호법 / 발생건수[건],78284.0
