mapping_version,source,year_from,year_to,category_raw,category_std,confidence,notes
v2,NPA,2024,2025,직권남용,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,여신전문금융업법,FRAUD_FIN,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,공중위생관리법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,마약류관리에 관한법률(대마),DRUG,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,공인중개사법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,수산자원관리법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,대부업 등의 등록 및 금융이용자 보호에 관한법률,FRAUD_FIN,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,가정폭력범죄의 처벌등에 관한특례법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,공직선거법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,폭행치상,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,유사수신행위의 규제에 관한법률,FRAUD_FIN,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,인장,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,공유재산 및 물품관리법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,화물자동차 운수사업법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,교통방해,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,"폭력행위등(손괴,강요,주거침입등)",OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,업무상과실치사,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,직무유기,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,체포와 감금,TRAFFICKING,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,선박안전법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,국토의계획 및 이용에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,화재의예방및안전관리에관한법률/소방시설설치및관리에관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,감금,TRAFFICKING,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,공중밀집장소 추행,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,방화,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,일반방화,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,약사법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,건설산업기본법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,강도,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,불법사용,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,낚시관리 및 육성법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,촬영물등이용협박·강요,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,성적목적의 장소침입,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,살인,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,자본시장과 금융투자업에 관한법률,FRAUD_FIN,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,부정경쟁방지 및 영업비밀 보호에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,범죄수익은닉의 규제 및 처벌등에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,아동·청소년의 성보호에 관한법률(성매수등),OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,가축분뇨의 관리 및 이용에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,유기,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,산림자원의 조성 및 관리에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,허위영상물편집·반포등,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,"살인(미수, 예비, 음모, 방조)",OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,수뢰,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,감염병의 예방 및 관리에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,물환경보전법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,총포·도검·화약류등의 안전관리에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,외국환거래법,SMUGGLING,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,주택법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,관세법,SMUGGLING,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,부정수표단속법,OTHER,LOW,AUTO_FROM_RAW
