mapping_version,source,year_from,year_to,category_raw,category_std,confidence,notes
v1,NPA,2005,2023,총계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 소계 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 소계 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,재산범죄,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,사기,FRAUD_FIN,HIGH,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 재산범죄 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,절도,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,폭행,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 도로교통법（음주운전） / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 강력범죄(폭력) / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,강력범죄(폭력),OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 재산범죄 / 절도,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 재산범죄 / 사기,FRAUD_FIN,HIGH,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 교통사고처리특례법 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,교통사고처리특례법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,도로교통법(음주운전),OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,손괴,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,기타형법범죄,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 강력범죄(폭력) / 폭행,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,상해,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 강력범죄(폭력) / 폭력행위등처벌에관한법률위반,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 도로교통법（무면허운전） / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 강력범죄(폭력) / 상해,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 기타특별법 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 도로교통법 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,횡령,FRAUD_FIN,HIGH,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 기타형법범죄 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,기타특별법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,도로교통법(사고후미조치),OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 재산범죄 / 손괴,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 근로기준법 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,근로기준법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,강력범죄(흉악),OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,성폭력,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,도로교통법(무면허운전),OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,명예,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,자동차 손해배상 보장법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 저작권법 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 도로법 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 자동차관리법 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 자동차손해배상보장법 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 재산범죄 / 횡령,FRAUD_FIN,HIGH,AUTO_FROM_RAW
v1,NPA,2005,2023,공무방해,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,자동차관리법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 위조범죄 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 강력범죄(흉악) / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,신용업무경매,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,협박,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,위조범죄,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 위조범죄 / 문서,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,저작권법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 강력범죄(흉악) / 강간,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,정보통신망이용촉진 및 정보보호 등에 관한법률,CYBER,HIGH,AUTO_FROM_RAW
v1,NPA,2005,2023,주거침입,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,문서,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 풍속범죄 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,도로교통법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,강제추행,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 향토예비군설치법 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 특가법（도주차량） / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 기타형법범죄 / 신용업무경매,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 기타형법범죄 / 공무방해,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 기타형법범죄 / 명예,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,근로자 퇴직급여 보장법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 풍속범죄 / 도박과복표,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 식품위생법 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 정보통신망이용촉진등에관한법률 / 소계,CYBER,HIGH,AUTO_FROM_RAW
v1,NPA,2005,2023,컴퓨터등사용사기,CYBER,HIGH,AUTO_FROM_RAW
v1,NPA,2005,2023,풍속범죄,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 부정수표단속법 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,배임,FRAUD_FIN,HIGH,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 병역법 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,권리행사방해,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,과실범죄,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 성매매법 / 소계,TRAFFICKING,HIGH,AUTO_FROM_RAW
v1,NPA,2005,2023,전자금융거래법,CYBER,HIGH,AUTO_FROM_RAW
v1,NPA,2005,2023,청소년보호법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,식품위생법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특가법(도주차량),OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 청소년보호법 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,도박과 복표,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,도박,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,경범죄처벌법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,마약류관리에 관한법률(향정),DRUG,HIGH,AUTO_FROM_RAW
v1,NPA,2005,2023,성매매알선 등 행위의 처벌에 관한법률,TRAFFICKING,HIGH,AUTO_FROM_RAW
v1,NPA,2005,2023,예비군법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,아동복지법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 수산업법 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,카메라등 이용촬영,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,침입절도,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,공갈,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 재산범죄 / 배임,FRAUD_FIN,HIGH,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 과실범죄 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,무고,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,강간,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,병역법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,산업안전보건법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,게임산업진흥에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,공유수면관리 및 매립에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 기타형법범죄 / 주거침입,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 음반・비디오물및게임물에관한법률 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 조세범처벌법 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 건축법 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 위조범죄 / 통화,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,건축법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 강력범죄(폭력) / 공갈,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 상표법 / 소계,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 강력범죄(흉악) / 강도,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,공무원범죄,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,상표법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,업무상과실치사상,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,특별법범 / 마약류관리에관한법률（향정） / 소계,DRUG,HIGH,AUTO_FROM_RAW
v1,NPA,2005,2023,수산업법,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,형법범 / 기타형법범죄 / 무고,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,통신매체 이용음란,OTHER,LOW,AUTO_FROM_RAW
v1,NPA,2005,2023,도로법,OTHER,LOW,AUTO_FROM_RAW
