mapping_version,source,year_from,year_to,category_raw,category_std,confidence,notes
v1,NPA,2005,2023,기타특별법 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,절도 / 여자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,기타특별법 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,기타특별법 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도로교통법(사고후미조치) / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,손괴,OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,근로기준법 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,교통사고처리특례법 / 여자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,강력범죄(흉악) / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,근로기준법 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,횡령 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,강력범죄(흉악) / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,명예 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,강력범죄(흉악) / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,근로기준법 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,강력범죄(흉악) / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,기타특별법 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도로교통법(무면허운전) / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,성폭력 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,성폭력 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도로교통법(무면허운전) / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도로교통법(무면허운전) / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,성폭력 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,성폭력 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도로교통법(무면허운전) / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,명예 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,근로기준법 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,자동차 손해배상 보장법 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,공무방해 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,신용업무경매 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,횡령 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,횡령 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,자동차 손해배상 보장법 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,총계 / 미상검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,횡령,OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,기타형법범죄 / 여자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,자동차관리법 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,공무방해 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,자동차관리법 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,공무방해 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,공무방해 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,자동차 손해배상 보장법 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,풍속범죄 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,명예 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,자동차 손해배상 보장법 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도로교통법(사고후미조치) / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,명예 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,신용업무경매 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,자동차관리법 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,자동차관리법 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도로교통법(사고후미조치) / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,총계 / 법인[개],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,신용업무경매 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도박과 복표 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도박 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,상해 / 여자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,특별법범 / 법인[개],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,신용업무경매 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,풍속범죄 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,협박 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,전자금융거래법 / 검거인원[명],FRAUD_FIN,HIGH,AUTO_DRAFT
v1,NPA,2005,2023,도로교통법(사고후미조치) / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,위조범죄 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,협박 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도박과 복표 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도박 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,문서 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,배임 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,협박 / 검거건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,위조범죄 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,문서,OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,협박 / 남자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,저작권법 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,성매매알선 등 행위의 처벌에 관한법률 / 검거인원[명],TRAFFICKING,HIGH,AUTO_DRAFT
v1,NPA,2005,2023,강간,OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도로교통법(음주운전) / 여자검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,형법범 / 미상검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,정보통신망이용촉진 및 정보보호 등에 관한법률 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,주거침입 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,문서 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,강제추행 / 검거인원[명],OTHER,LOW,AUTO_DRAFT
v1,NPA,2005,2023,도로교통법 / 발생건수[건],OTHER,LOW,AUTO_DRAFT
